"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","5.2653","5.1852","5.2916","5.1616","","1.54%"
"11/01/2022","5.1856","5.1801","5.5300","5.0184","","0.12%"
"10/01/2022","5.1791","5.4158","5.4158","5.1083","","-4.36%"
"09/01/2022","5.4154","5.1833","5.4300","5.0766","","4.48%"
"08/01/2022","5.1831","5.1759","5.3163","5.0076","","0.19%"
"07/01/2022","5.1734","5.2569","5.5152","5.1448","","-1.58%"
"06/01/2022","5.2562","4.7319","5.2792","4.7218","","11.09%"
"05/01/2022","4.7315","4.9692","5.2102","4.6904","","-4.84%"
"04/01/2022","4.9721","4.7408","5.0461","4.5805","","4.92%"
"03/01/2022","4.7390","5.1605","5.2233","4.7148","","-8.16%"
"02/01/2022","5.1599","5.2983","5.3509","4.9939","","-2.73%"
"01/01/2022","5.3046","5.5668","5.7255","5.2832","","-4.79%"
"12/01/2021","5.5713","5.6249","5.7580","5.5181","","-0.94%"
"11/01/2021","5.6244","5.6221","5.6995","5.3875","","-0.26%"
"10/01/2021","5.6388","5.4440","5.7559","5.3534","","3.59%"
"09/01/2021","5.4433","5.1684","5.4768","5.1305","","5.68%"
"08/01/2021","5.1508","5.2159","5.4766","5.1109","","-1.20%"
"07/01/2021","5.2134","4.9712","5.3150","4.9471","","4.91%"
"06/01/2021","4.9696","5.2207","5.2209","4.8932","","-4.77%"
"05/01/2021","5.2183","5.4368","5.4845","5.1961","","-4.02%"
"04/01/2021","5.4368","5.6318","5.7559","5.3270","","-3.49%"
"03/01/2021","5.6333","5.5877","5.8803","5.4492","","0.61%"
"02/01/2021","5.5989","5.4651","5.6089","5.3033","","2.49%"
"01/01/2021","5.4630","5.1341","5.5164","5.1199","","5.18%"
